"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
270,"Weld County School District RE-3J Director - District C (Vote For 1)","Matthew P. Cole","1",785,36.13,3885280,1560661,2,2,"0","0"
271,"Weld County School District RE-3J Director - District C (Vote For 1)","Cindy Baumgartner","2",1388,63.87,3885280,1560661,2,2,"0","0"
272,"Weld County School District RE-3J Director - District D (Vote For 1)","Bryan Haffner","1",1808,100.00,3885280,1560661,2,2,"0","0"
273,"City of Brighton Ballot Issue 3B (Vote For 1)","Yes/For","Y",3759,47.29,3885280,1560661,2,2,"0","0"
274,"City of Brighton Ballot Issue 3B (Vote For 1)","No/Against","N",4190,52.71,3885280,1560661,2,2,"0","0"
275,"City of Longmont Municipal Court Judge - Frick (Vote For 1)","Yes/For","Y",16121,69.71,3885280,1560661,2,2,"0","0"
276,"City of Longmont Municipal Court Judge - Frick (Vote For 1)","No/Against","N",7004,30.29,3885280,1560661,2,2,"0","0"
277,"City of Arvada Council Member - At-Large (Vote For 1)","Lisa Smith","1",20322,54.59,3885280,1560661,2,2,"0","0"
278,"City of Arvada Council Member - At-Large (Vote For 1)","Michael P. Griffith","2",16902,45.41,3885280,1560661,2,2,"0","0"
279,"City of Westminster Council Members (Vote For 4)","Bruce Baker","1",11563,12.15,3885280,1560661,2,2,"0","0"
280,"City of Westminster Council Members (Vote For 4)","Sarah Nurmela","2",11611,12.20,3885280,1560661,2,2,"0","0"
281,"City of Westminster Council Members (Vote For 4)","David DeMott","3",12744,13.39,3885280,1560661,2,2,"0","0"
282,"City of Westminster Council Members (Vote For 4)","Karen Kalavity","4",5017,5.27,3885280,1560661,2,2,"0","0"
283,"City of Westminster Council Members (Vote For 4)","Obi Ezeadi","5",13432,14.11,3885280,1560661,2,2,"0","0"
284,"City of Westminster Council Members (Vote For 4)","Kathryn Skulley","6",10060,10.57,3885280,1560661,2,2,"0","0"
285,"City of Westminster Council Members (Vote For 4)","Kristine Ireland","7",11379,11.95,3885280,1560661,2,2,"0","0"
286,"City of Westminster Council Members (Vote For 4)","Kathleen Dodaro","8",8607,9.04,3885280,1560661,2,2,"0","0"
287,"City of Westminster Council Members (Vote For 4)","Jon L. Voelz","9",10793,11.34,3885280,1560661,2,2,"0","0"
288,"City of Westminster Mayor (Vote For 1)","Nancy McNally","1",13879,51.75,3885280,1560661,2,2,"0","0"
289,"City of Westminster Mayor (Vote For 1)","Anita Seitz","2",12939,48.25,3885280,1560661,2,2,"0","0"
290,"City of Brighton Councilmember - Ward 3 (Vote For 1)","Jan Pawlowski","1",960,100.00,3885280,1560661,1,1,"0","0"
291,"City of Brighton Councilmember - Ward 4 (Vote For 1)","Peter Padilla","1",1496,100.00,3885280,1560661,1,1,"0","0"
292,"City of Northglenn Council Member - Ward 1 (Vote For 1)","Nicholas Walker","1",1142,100.00,3885280,1560661,1,1,"0","0"
293,"City of Northglenn Council Member - Ward 3 (Vote For 1)","Julie Duran Mullica","1",758,59.78,3885280,1560661,1,1,"0","0"
294,"City of Northglenn Council Member - Ward 3 (Vote For 1)","Mark Bromley","2",510,40.22,3885280,1560661,1,1,"0","0"
295,"City of Northglenn Council Member - Ward 4 - Four Year Term (Vote For 1)","Jenny Willford","1",1295,100.00,3885280,1560661,1,1,"0","0"
296,"City of Northglenn Council Member - Ward 4 - Two Year Term (Vote For 1)","Shannon Lukeman-Hiromasa","1",1258,100.00,3885280,1560661,1,1,"0","0"
297,"City of Arvada Ballot Question 3C (Vote For 1)","Yes/For","Y",13051,33.49,3885280,1560661,2,2,"0","0"
298,"City of Arvada Ballot Question 3C (Vote For 1)","No/Against","N",25916,66.51,3885280,1560661,2,2,"0","0"
299,"City of Arvada Ballot Question 3D (Vote For 1)","Yes/For","Y",26867,69.15,3885280,1560661,2,2,"0","0"
300,"City of Arvada Ballot Question 3D (Vote For 1)","No/Against","N",11988,30.85,3885280,1560661,2,2,"0","0"
301,"City of Arvada Ballot Question 3E (Vote For 1)","Yes/For","Y",23683,60.90,3885280,1560661,2,2,"0","0"
302,"City of Arvada Ballot Question 3E (Vote For 1)","No/Against","N",15203,39.10,3885280,1560661,2,2,"0","0"
303,"City of Arvada Ballot Question 3F (Vote For 1)","Yes/For","Y",23413,60.22,3885280,1560661,2,2,"0","0"
304,"City of Arvada Ballot Question 3F (Vote For 1)","No/Against","N",15468,39.78,3885280,1560661,2,2,"0","0"
305,"City of Westminster Ballot Question 3G (Vote For 1)","Yes/For","Y",20576,77.76,3885280,1560661,2,2,"0","0"
306,"City of Westminster Ballot Question 3G (Vote For 1)","No/Against","N",5886,22.24,3885280,1560661,2,2,"0","0"
307,"City of Westminster Ballot Question 3H (Vote For 1)","Yes/For","Y",22058,82.36,3885280,1560661,2,2,"0","0"
308,"City of Westminster Ballot Question 3H (Vote For 1)","No/Against","N",4723,17.64,3885280,1560661,2,2,"0","0"
309,"City of Westminster Ballot Question 3I (Vote For 1)","Yes/For","Y",13124,48.55,3885280,1560661,2,2,"0","0"
310,"City of Westminster Ballot Question 3I (Vote For 1)","No/Against","N",13910,51.45,3885280,1560661,2,2,"0","0"
311,"City of Westminster Ballot Question 3J (Vote For 1)","Yes/For","Y",11295,43.62,3885280,1560661,2,2,"0","0"
312,"City of Westminster Ballot Question 3J (Vote For 1)","No/Against","N",14598,56.38,3885280,1560661,2,2,"0","0"
313,"City of Westminster Ballot Question 3K (Vote For 1)","Yes/For","Y",14425,52.95,3885280,1560661,2,2,"0","0"
314,"City of Westminster Ballot Question 3K (Vote For 1)","No/Against","N",12819,47.05,3885280,1560661,2,2,"0","0"
315,"City of Westminster Ballot Issue 3L (Vote For 1)","Yes/For","Y",13457,48.85,3885280,1560661,2,2,"0","0"
316,"City of Westminster Ballot Issue 3L (Vote For 1)","No/Against","N",14092,51.15,3885280,1560661,2,2,"0","0"
317,"City of Westminster Ballot Issue 3M (Vote For 1)","Yes/For","Y",11633,42.38,3885280,1560661,2,2,"0","0"
318,"City of Westminster Ballot Issue 3M (Vote For 1)","No/Against","N",15817,57.62,3885280,1560661,2,2,"0","0"
319,"City of Westminster Ballot Issue 3N (Vote For 1)","Yes/For","Y",14952,54.25,3885280,1560661,2,2,"0","0"
320,"City of Westminster Ballot Issue 3N (Vote For 1)","No/Against","N",12609,45.75,3885280,1560661,2,2,"0","0"
321,"Alamosa School District RE-11J Director - District 1 (Vote For 1)","Star Quintana","1",1455,46.25,3885280,1560661,2,2,"0","0"
322,"Alamosa School District RE-11J Director - District 1 (Vote For 1)","Justin Rilling","2",1691,53.75,3885280,1560661,2,2,"0","0"
323,"Alamosa School District RE-11J Director - District 3 (Vote For 1)","Amanda Wilkinson","1",2553,100.00,3885280,1560661,2,2,"0","0"
324,"Alamosa School District RE-11J Director - District 4 (Vote For 1)","Gloria Solis","1",2321,100.00,3885280,1560661,2,2,"0","0"
325,"Alamosa School District RE-11J Director - District 6 (Vote For 1)","Brenda Almeida","1",1253,39.82,3885280,1560661,2,2,"0","0"
326,"Alamosa School District RE-11J Director - District 6 (Vote For 1)","Heidi Richardson","2",1894,60.18,3885280,1560661,2,2,"0","0"
327,"Alamosa School District RE-11J Director - District 7 (Vote For 1)","Patrick Alan Colvin","1",1533,50.11,3885280,1560661,2,2,"0","0"
328,"Alamosa School District RE-11J Director - District 7 (Vote For 1)","Amy Raya","2",1526,49.89,3885280,1560661,2,2,"0","0"
329,"North Conejos School District RE-1J Director - District C (Vote For 1)","Harman Hostetter","1",748,56.80,3885280,1560661,2,2,"0","0"
330,"North Conejos School District RE-1J Director - District C (Vote For 1)","Larry Zaragoza","2",569,43.20,3885280,1560661,2,2,"0","0"
